region,year,precio_m2,salario_mensual,superficie_util,interes_medio,esfuerzo_m2,metros_posibles,superficie_cubierta_pct
01 Andalucia,2020,1660,1604.29,97.31473125211039,2.3033333333333332,1.0347256418727289,0.9664397590361445,0.009931073606239713
01 Andalucia,2021,1778,1655.11,97.31473125211039,1.9216666666666666,1.0742488414667304,0.930883014623172,0.009565694758089204
01 Andalucia,2022,1891,1706.6,97.31473125211039,2.063333333333333,1.1080510957459275,0.9024854574299312,0.009273883263284044
01 Andalucia,2023,2078,1831.82,97.31473125211039,3.3358333333333334,1.134390933607014,0.8815303176130895,0.009058549576932346
02 Aragon,2020,1318,1607.03,95.08428413691573,2.3033333333333332,0.8201464813973603,1.2192943854324734,0.012823300890363352
02 Aragon,2021,1319,1643.64,95.08428413691573,1.9216666666666666,0.8024871626390206,1.2461258529188781,0.01310548703426668
02 Aragon,2022,1333,1706.75,95.08428413691573,2.063333333333333,0.7810165519261755,1.2803825956489123,0.01346576468730876
02 Aragon,2023,1417,1844.14,95.08428413691573,3.3358333333333334,0.7683798410099016,1.3014396612561752,0.013687221532658113
"03 Asturias, Principado De",2020,1346,1613.11,86.40035118525022,2.3033333333333332,0.8344130282497785,1.198447251114413,0.013870860878155844
"03 Asturias, Principado De",2021,1336,1665.82,86.40035118525022,1.9216666666666666,0.8020074197692428,1.2468712574850298,0.01443132163677928
"03 Asturias, Principado De",2022,1343,1704.96,86.40035118525022,2.063333333333333,0.7877017642642642,1.2695160089352198,0.01469341260214628
"03 Asturias, Principado De",2023,1371,1829.33,86.40035118525022,3.3358333333333334,0.7494547183941662,1.3343034281546315,0.015443263943381013
"04 Balears, Illes",2020,3091,1604.73,107.17461005199307,2.3033333333333332,1.9261807282221932,0.5191620834681333,0.0048440771859703975
"04 Balears, Illes",2021,3291,1668.38,107.17461005199307,1.9216666666666666,1.9725721957827351,0.5069522941355211,0.004730152914851624
"04 Balears, Illes",2022,3625,1726.07,107.17461005199307,2.063333333333333,2.1001465757472175,0.4761572413793103,0.004442817577300394
"04 Balears, Illes",2023,4083,1839.21,107.17461005199307,3.3358333333333334,2.2199748805193535,0.4504555473916238,0.004203006170706818
05 Canarias,2020,1867,1619.31,95.6859830449425,2.3033333333333332,1.152960211448086,0.8673326191751473,0.009064364409234025
05 Canarias,2021,1966,1647.79,95.6859830449425,1.9216666666666666,1.1931132001043823,0.8381434384537131,0.00875931261593506
05 Canarias,2022,2099,1712.02,95.6859830449425,2.063333333333333,1.2260370790060864,0.8156360171510243,0.008524090898119637
05 Canarias,2023,2432,1832.91,95.6859830449425,3.3358333333333334,1.3268518366968372,0.7536636513157895,0.007876426905305484
06 Cantabria,2020,1448,1612.68,99.47818930041153,2.3033333333333332,0.8978842671825781,1.1137292817679558,0.01119571324729921
06 Cantabria,2021,1465,1643.35,99.47818930041153,1.9216666666666666,0.8914716889281042,1.121740614334471,0.011276246805688797
06 Cantabria,2022,1500,1715.62,99.47818930041153,2.063333333333333,0.8743194879985079,1.1437466666666667,0.011497461651746562
06 Cantabria,2023,1572,1841.43,99.47818930041153,3.3358333333333334,0.8536843648686075,1.1713931297709923,0.011775376472057945
07 Castilla Y Leon,2020,1135,1604.39,99.45276362210899,2.3033333333333332,0.7074339780228,1.4135594713656388,0.014213375474780627
07 Castilla Y Leon,2021,1148,1651.22,99.45276362210899,1.9216666666666666,0.695243516914766,1.4383449477351917,0.014462594053197718
07 Castilla Y Leon,2022,1137,1703.36,99.45276362210899,2.063333333333333,0.6675042269396957,1.498117854001759,0.015063612105282087
07 Castilla Y Leon,2023,1176,1827.75,99.45276362210899,3.3358333333333334,0.6434140336479278,1.5542091836734695,0.015627611813574166
08 Castilla-La Mancha,2020,868,1599.29,113.1239397392075,2.3033333333333332,0.5427408412483039,1.8425,0.01628744547129143
08 Castilla-La Mancha,2021,879,1641.21,113.1239397392075,1.9216666666666666,0.5355804558831594,1.8671331058020477,0.01650519872368731
08 Castilla-La Mancha,2022,889,1699.4,113.1239397392075,2.063333333333333,0.5231258091090973,1.9115860517435321,0.016898156624941145
08 Castilla-La Mancha,2023,917,1826.78,113.1239397392075,3.3358333333333334,0.5019761547641205,1.9921264994547436,0.017610123056599085
09 Cataluna,2020,2244,1611.84,91.78716104770072,2.3033333333333332,1.3921977367480645,0.7182887700534759,0.007825590876268518
09 Cataluna,2021,2277,1654.23,91.78716104770072,1.9216666666666666,1.3764712283056164,0.7264953886693017,0.007915000097799631
09 Cataluna,2022,2295,1714.71,91.78716104770072,2.063333333333333,1.338418741361513,0.7471503267973857,0.00814003089614135
09 Cataluna,2023,2339,1835.83,91.78716104770072,3.3358333333333334,1.2740831122707441,0.7848781530568619,0.008551066882316688
10 Comunitat Valenciana,2020,1413,1597.5,103.40970682434097,2.3033333333333332,0.8845070422535212,1.1305732484076434,0.010932950910770059
10 Comunitat Valenciana,2021,1479,1655.7,103.40970682434097,1.9216666666666666,0.8932777677115419,1.1194726166328601,0.010825604781323626
10 Comunitat Valenciana,2022,1596,1705.86,103.40970682434097,2.063333333333333,0.9355984664626641,1.0688345864661652,0.010335921252361378
10 Comunitat Valenciana,2023,1776,1828.88,103.40970682434097,3.3358333333333334,0.9710861292156948,1.0297747747747747,0.009958202246178136
11 Extremadura,2020,921,1611.42,108.37057598889659,2.3033333333333332,0.571545593327624,1.749641693811075,0.016144988414478294
11 Extremadura,2021,941,1655.14,108.37057598889659,1.9216666666666666,0.5685319670843554,1.7589160467587674,0.016230568405754178
11 Extremadura,2022,943,1688.21,108.37057598889659,2.063333333333333,0.5585797975370362,1.790254506892895,0.016519747085927832
11 Extremadura,2023,959,1830.92,108.37057598889659,3.3358333333333334,0.5237803945557424,1.9091970802919709,0.017617301217330274
12 Galicia,2020,1327,1600.97,104.33497536945812,2.3033333333333332,0.8288724960492702,1.2064581763376037,0.011563314910129064
12 Galicia,2021,1328,1650.18,104.33497536945812,1.9216666666666666,0.8047606927729096,1.242605421686747,0.011909768678111882
12 Galicia,2022,1338,1700.72,104.33497536945812,2.063333333333333,0.786725622089468,1.2710911808669656,0.012182790827006329
12 Galicia,2023,1375,1829.34,104.33497536945812,3.3358333333333334,0.7516372024883291,1.3304290909090908,0.012751515838269379
"13 Madrid, Comunidad De",2020,2774,1612.7,91.3540159878188,2.3033333333333332,1.7200967321882557,0.5813626532083634,0.006363843416428269
"13 Madrid, Comunidad De",2021,2897,1648.57,91.3540159878188,1.9216666666666666,1.7572805522361805,0.5690610976872627,0.006229185345974737
"13 Madrid, Comunidad De",2022,3062,1711.38,91.3540159878188,2.063333333333333,1.7891993595811566,0.5589092096668844,0.006118058452311607
"13 Madrid, Comunidad De",2023,3208,1840.96,91.3540159878188,3.3358333333333334,1.7425690943855379,0.5738653366583542,0.006281774593630057
"14 Murcia, Region De",2020,1048,1601.25,105.1465892597968,2.3033333333333332,0.6544886807181889,1.5279103053435115,0.014531239825272334
"14 Murcia, Region De",2021,1063,1663.58,105.1465892597968,1.9216666666666666,0.6389833972517102,1.5649858889934147,0.014883848349342445
"14 Murcia, Region De",2022,1080,1703.2,105.1465892597968,2.063333333333333,0.6341005166744951,1.577037037037037,0.01499846117823646
"14 Murcia, Region De",2023,1186,1834.45,105.1465892597968,3.3358333333333334,0.6465153043146447,1.5467537942664418,0.014710451429334656
"15 Navarra, Comunidad Foral De",2020,1451,1592.71,103.13755795981453,2.3033333333333332,0.9110258615818322,1.0976636802205375,0.010642715436875285
"15 Navarra, Comunidad Foral De",2021,1484,1655.09,103.13755795981453,1.9216666666666666,0.8966279779347347,1.1152897574123988,0.010813614162233209
"15 Navarra, Comunidad Foral De",2022,1568,1721.86,103.13755795981453,2.063333333333333,0.910643141718839,1.098125,0.010647188296118687
"15 Navarra, Comunidad Foral De",2023,1687,1822.4,103.13755795981453,3.3358333333333334,0.9257023705004389,1.0802608180201543,0.01047398095697647
16 Pais Vasco,2020,2641,1613.21,86.8225222258808,2.3033333333333332,1.637108621940107,0.6108330177962893,0.007035421249421005
16 Pais Vasco,2021,2690,1644.34,86.8225222258808,1.9216666666666666,1.635914713502074,0.611278810408922,0.007040555776744144
16 Pais Vasco,2022,2773,1720.18,86.8225222258808,2.063333333333333,1.6120406004022834,0.6203317706455103,0.007144825498522507
16 Pais Vasco,2023,2864,1841.67,86.8225222258808,3.3358333333333334,1.555110307492656,0.6430412011173184,0.007406387013779187
"17 Rioja, La",2020,1240,1615.82,96.04128440366974,2.3033333333333332,0.76741221175626,1.3030806451612902,0.013567921891634964
"17 Rioja, La",2021,1265,1663.38,96.04128440366974,1.9216666666666666,0.7604997054190864,1.3149249011857709,0.013691246523307925
"17 Rioja, La",2022,1260,1711.67,96.04128440366974,2.063333333333333,0.736123201318011,1.358468253968254,0.014144628139899668
"17 Rioja, La",2023,1327,1844.22,96.04128440366974,3.3358333333333334,0.7195453904631768,1.3897663903541824,0.014470510249663835
18 Ceuta,2020,2246,1614.1,85.21611721611721,2.3033333333333332,1.391487516262933,0.7186553873552982,0.008433327061038361
18 Ceuta,2021,2084,1643.73,85.21611721611721,1.9216666666666666,1.2678481259087564,0.7887380038387716,0.009255737407495902
18 Ceuta,2022,2124,1721.82,85.21611721611721,2.063333333333333,1.2335784228316549,0.8106497175141243,0.009512868504184832
18 Ceuta,2023,2187,1834.23,85.21611721611721,3.3358333333333334,1.1923259351335438,0.8386968449931413,0.009841997880120685
19 Melilla,2020,1777,1572.0,88.18045112781955,2.3033333333333332,1.1304071246819338,0.8846370287000562,0.01003212182956237
19 Melilla,2021,1842,1691.89,88.18045112781955,1.9216666666666666,1.0887232621506127,0.9185070575461456,0.010416220894750798
19 Melilla,2022,1885,1696.88,88.18045112781955,2.063333333333333,1.1108622884352457,0.9002015915119363,0.01020862991738468
19 Melilla,2023,1934,1845.31,88.18045112781955,3.3358333333333334,1.0480623851818935,0.9541416752843846,0.010820331072034716
